image_name,style,color,pattern,material,estimated_pricing,gender,events,type_of_clothing,name,description
dogdabredhoodie.jpg,streetwear,red,graphic,cotton,$50 ,unisex,casual,hoodie,Dabbing Pug Hoodie,"A vibrant red cotton hoodie featuring a playful graphic of a dabbing pug dog on the front, perfect for casual streetwear and everyday comfort."
denimjacket.png,casual,blue,solid,denim with sherpa lining,$80 ,unisex,casual,jacket,Sherpa Lined Denim Jacket,"A light blue denim jacket featuring a soft white sherpa lining and collar, perfect for casual and cool weather wear."
png-men-wear-pastel-fashionable-portrait-jacket-adult_53876-727411.jpg,streetwear,pink,solid,cotton,$150 ,male,casual,jacket and pants,Urban Pink Relaxed Set,"A trendy streetwear outfit consisting of a light pink oversized jacket with button details and matching pink relaxed fit pants, paired with a soft yellow crewneck t-shirt. Made from comfortable cotton material, perfect for casual day-to-day wear."
png-transparent-dungarees-mockup-with-brown-hoodie-street-style-shoot_53876-1044898.jpg,streetwear,white,solid,cotton,$100 ,male,casual,overalls,Urban Classic White Overalls,"White cotton overalls featuring navy adjustable straps, paired with a brown hooded sweatshirt. Relaxed casual streetwear look perfect for day-to-day wear."
whitetshirt_wornbyperson.jpg,casual,white,solid,cotton,$30 ,male,casual,shirt,Classic White Tee,"A simple, clean white cotton t-shirt with a crew neck and short sleeves, perfect for everyday casual wear."
10493.jpg,casual,white,graphic,cotton,$30 ,female,casual,T-shirt,Heart Tree Cotton Tee,A white cotton T-shirt featuring a black tree graphic adorned with hanging red hearts and the text 'It my Hearts.' Ideal for casual everyday wear.
10461.jpg,casual,white,graphic print,cotton,$50 ,male,casual,polo shirt,Classic Graphic Polo,"A white cotton polo shirt featuring a navy blue graphic print on the chest and sleeve, offering a comfortable and casual style perfect for everyday wear."
brookcreamhoodie.jpg,streetwear,white,text print,cotton,$50 ,unisex,casual,hoodie,Brooklyn Vintage Hoodie,"A cozy off-white cotton hoodie featuring bold brown printed text 'BROOKLYN EST. 1631 NEW YORK' on the front, with a front kangaroo pocket and drawstring hood."
american-man-png-sticker-mens-casual-fashion-transparent-background_53876-978709.jpg,casual,green,solid,cotton,$100 ,male,casual,jacket,Evergreen Casual Shirt Jacket,"A comfortable, solid green cotton shirt jacket featuring a button front and two chest pockets, perfect for casual everyday wear."
10186.jpg,business casual,blue,striped,cotton,$50 ,male,business,shirt,Blue Striped Business Shirt,"A classic blue striped cotton shirt with black and white accents, designed for a polished business casual look."
10370.jpg,casual,white,solid,cotton,$30 ,female,casual,t-shirt,Classic White Tee,"A plain white cotton t-shirt with a round neckline and short sleeves, perfect for casual everyday wear."
whitetshirt_midweightmens.png,casual,white,solid,cotton,$50 ,unisex,casual,shirt,Classic White Crewneck Tee,"A simple and versatile white crewneck t-shirt made from soft cotton, perfect for everyday casual wear."
10190.jpg,business casual,white,solid,cotton,$50 ,male,business,collared shirt,Classic White Dress Shirt,"A crisp, white collared shirt featuring a subtle embroidered crest on the chest, made from breathable cotton, ideal for business casual settings."
navybluetshirt.jpg,streetwear,blue,solid,cotton,$40 ,unisex,casual,shirt,Slow Sundays Tee,"A comfortable dark navy cotton t-shirt with a minimalistic 'Slow Sundays Social Club' text print on the chest, perfect for casual everyday wear."
10364.jpg,casual,red,solid,cotton,$50 ,male,casual,sweatshirt,Benetton Classic Crewneck Sweatshirt,"A comfortable red cotton crewneck sweatshirt with ribbed cuffs and hem, featuring a subtle printed brand logo on the chest."
png-turtleneck-mockup-man-wearing-dark-blue-blazer_53876-989065.jpg,business casual,gray,solid,cotton,$150 ,male,"business, casual",blazer,Modern Gray Business Blazer,"A sleek gray cotton blazer featuring a classic fit, single-button closure, and a white pocket square for a polished business casual look."
minkfurcoat.jpg,formal,gray,solid,fur,"$2,000 ",male,business,coat,Elegance Gray Fur Coat,"A luxurious long gray fur coat with a silky inner lining and button closures, perfect for formal business occasions."
headless-man-png-sticker-wearing-hoodie-transparent-background_53876-980648.jpg,athleisure,blue,solid,cotton,$50 ,male,casual,hoodie,Comfort Flex Hoodie,"A blue solid cotton hoodie with a front kangaroo pocket and adjustable drawstrings, perfect for casual and athletic wear."
orangestripeshirt.jpg,casual,orange,striped,polyester,$40 ,male,casual,shirt,Sunset Stripe Shirt,"A short-sleeved button-up shirt featuring bold vertical stripes in orange, black, and white, perfect for casual outings and summer wear."
png-cream-shirt-mockup-fashion-sleeve-adult_53876-857750.jpg,business casual,white,solid,cotton,$100 ,male,"casual, business",shirt,Classic Cotton Button-Up,"A relaxed fit, solid white cotton button-up shirt with a soft collar and casual rolled sleeves, perfect for both casual and business casual settings."
whitetshirt_womensoffwhite.png,casual,white,solid,cotton,$20 ,unisex,casual,shirt,Classic White Tee,"A simple, comfortable white cotton t-shirt with a crew neck, perfect for everyday casual wear."
flanneljacket.png,streetwear,blue,plaid,cotton,$100 ,male,casual,jacket,Quilted Plaid Hooded Jacket,"A blue plaid cotton jacket with a quilted inner lining and a black hood, designed for casual streetwear and cool weather."
10807.jpg,business casual,gray,solid,cotton,$50 ,male,"casual, business",collared shirt,Urban Grey Casual Shirt,"A short-sleeved grey collared shirt with a slim fit and button-down closure, suitable for casual and semi-formal business settings."
whitecotton.jpg,casual,white,textured,cotton,$50 ,unisex,casual,shirt,Textured Summer Button-Up,"A lightweight, white button-up shirt with a subtle textured pattern and short sleeves, perfect for casual summer outings."
bluehoodies.jpg,athleisure,blue,solid,cotton,$80 ,unisex,casual,hoodie,Nike Classic Hoodie,"A comfortable navy blue cotton hoodie with a small white Nike swoosh logo, featuring a front kangaroo pocket and adjustable drawstrings on the hood."
headless-businessman-png-sticker-full-body-cut-out-transparent-background_53876-1037552.jpg,business casual,brown,solid,wool,$200 ,male,business,suit,Classic Brown Wool Suit,"A tailored brown wool suit consisting of a single-breasted jacket and matching trousers, paired with a white dress shirt and dark tie, perfect for business or formal office settings."
whitetshirt_womensstretchjerseybabytee.png,casual,white,solid,cotton,$50 ,female,casual,shirt,Classic White Crewneck Tee,"A simple and versatile white short-sleeve crewneck shirt made from soft cotton, perfect for everyday casual wear."
man-white-background-full-height-warming-up_709984-25395.jpg,casual,blue,solid,cotton,$70 ,male,casual,shirt,Classic Light Blue Button-Up,"A comfortable light blue button-up shirt made of soft cotton, perfect for casual outings and everyday wear."
png-pants-khaki-clothing-apparel_53876-803584.jpg,business casual,brown,solid,cotton blend,$150 ,male,business,pants,Classic Pleated Trousers,"These classic pleated trousers in a light brown cotton blend offer a polished and professional look, perfect for business casual settings."
graphikdress.jpg,casual,white,floral,cotton,$100 ,female,casual,dress,Floral Puff-Sleeve Midi Dress,"A white midi dress with a delicate floral pattern featuring puff sleeves and a square neckline with tie details, perfect for casual outings."
headless-man-png-sticker-wearing-shirt-mens-casual-fashion-transparent-background_53876-979488.jpg,casual,gray,solid,cotton,$60 ,male,casual,shirt,Urban Relaxed Short Sleeve Shirt,"A comfortable gray short sleeve button-up shirt made from breathable cotton, featuring a single chest pocket for a subtle detail, perfect for casual everyday wear."
man-looking-down_1368-125.jpg,business casual,blue,checkered,cotton,$150 ,male,"business, casual",shirt,Navy Checkered Button-Down Shirt,"A stylish navy and white checkered button-down shirt made from soft cotton fabric, perfect for business casual settings."
png-blank-suit-mockup-blazer-jacket-coat_53876-799726.jpg,business casual,green,solid,polyester,$200 ,male,business,blazer,Emerald Executive Blazer,"A sleek green polyester blazer designed for business casual wear, featuring a single-button closure and classic lapel collars."
png-man-model-brown-suit-bag-handbag-fashion_53876-837032.jpg,business casual,gray,checkered,wool,$300 ,male,business,suit,Slate Check Suit,"A tailored gray checkered wool suit paired with a white button-up shirt, perfect for business or professional settings."
png-black-man-model-winter-catalog-sweatshirt-portrait-fashion_53876-921467.jpg,streetwear,green,solid,faux fur,$200 ,male,casual,jacket,Emerald Plush Bomber,"A cozy and stylish oversized faux fur bomber jacket in a deep green shade, perfect for casual streetwear and cold weather."
png-blue-jacket-sleeve-pants-coat_53876-849147.jpg,streetwear,blue,solid,leather,$200 ,unisex,casual,jacket,Azure Leather Jacket,"A sleek blue leather jacket featuring a classic collar, snap button closure, and minimalist design perfect for casual streetwear looks."
whitetshirt_offwhite.png,casual,white,solid,cotton,$50 ,unisex,casual,shirt,Classic White Tee,"A simple, clean, and versatile white cotton t-shirt with a crew neck and short sleeves, perfect for everyday casual wear."
10367.jpg,casual,purple,plaid,cotton,$40 ,male,casual,shirt,Purple Plaid Casual Shirt,"A comfortable purple plaid cotton shirt featuring a button-up front, single chest pocket, and roll-up sleeves, perfect for casual day-to-day wear."
10189.jpg,business casual,blue,striped,cotton,$50 ,male,business,collared shirt,Navy Vertical Stripe Shirt,"A navy blue collared shirt featuring vertical white stripes, made from comfortable cotton fabric, ideal for business casual settings."
10371.jpg,streetwear,black,graphic print,cotton,$50 ,male,casual,sweatshirt,Urban Edge Graphic Sweatshirt,"A black cotton sweatshirt featuring a bold white graphic print on the chest, with a zippered collar and a front kangaroo pocket, perfect for casual streetwear looks."
blacktshirt_basic.png,casual,black,solid,cotton,$30 ,male,casual,shirt,Classic Black Crewneck Tee,"A basic black crewneck t-shirt made from soft cotton, perfect for everyday casual wear."
whitetshirt_womens.jpg,casual,white,solid,cotton,$20 ,female,casual,t-shirt,Classic White Crewneck Tee,"A simple and comfortable white cotton t-shirt with a classic crew neckline, ideal for everyday casual wear."
navybluehoodie.jpg,athleisure,blue,solid,cotton,$60 ,unisex,casual,hoodie,Sunday Running Club Hoodie,A comfortable blue hoodie made from soft cotton featuring a front kangaroo pocket and 'Sunday Running Club' text print on the chest.
bluetshirt_navy.png,casual,blue,solid,cotton,$25 ,unisex,casual,shirt,Classic Navy Tee,"A simple, comfortable navy blue cotton t-shirt with a classic crew neck and short sleeves, perfect for everyday casual wear."
whitetshirt_greenishbackground.jpg,casual,white,solid,cotton,$50 ,unisex,casual,shirt,Classic White Crewneck Tee,A simple and versatile white short sleeve crewneck t-shirt made from soft cotton for everyday casual wear.
young-bald-muscular-man_251136-2703.jpg,casual,gray,solid with subtle texture,cotton blend,$70 ,male,casual,hoodie,Heather Gray Casual Hoodie,"A cozy gray hoodie with a front pocket and a button-closure neckline featuring drawstrings, made from a soft cotton blend perfect for casual wear."
greenpants.jpg,casual,green,solid,cotton,$40 ,unisex,casual,pants,Green Casual Cotton Trousers,"Comfortable green cotton trousers with an elastic waistband and elastic cuffs, perfect for everyday casual wear."
png-cozy-blue-knit-sweater_53876-827562.jpg,casual,blue,cable knit,cotton,$100 ,female,casual,sweater,Cozy Cable Knit Sweater,"A comfortable blue cotton cable knit sweater with a relaxed fit and ribbed cuffs and hem, perfect for casual wear."
man-png-element-transparent-background_53876-957364.jpg,casual,red,plaid,cotton,$50 ,male,casual,shirt,Everyday Plaid Shirt,"A casual red plaid button-down shirt made from lightweight cotton, perfect for everyday wear and informal outings."
31987860_fpx.webp,athleisure,beige,solid,polyester,$150 ,male,casual,hoodie,Urban Zip Hoodie,"A sleek beige zip-up hoodie made from smooth polyester fabric, featuring a minimalist design with a hood and drawstrings, perfect for casual and athleisure wear."
13837880_fpx.webp,casual,brown,solid,cotton,$100 ,male,casual,jacket,Classic Khaki Lightweight Jacket,"A versatile khaki zip-up jacket made from lightweight cotton, featuring a simple solid pattern and a relaxed fit, perfect for casual outings."
31727551_fpx.webp,athleisure,brown,solid,fleece,$80 ,male,casual,jacket,Cozy Zip Fleece,"A warm, full-zip fleece jacket in a neutral brown tone, perfect for casual wear and outdoor activities."
31214852_fpx.webp,athleisure,blue,solid,cotton,$100 ,female,casual,sweatshirt,Cozy Blue Crewneck,"A comfortable blue cotton crewneck sweatshirt with ribbed cuffs, perfect for casual athleisure wear."
26337667_fpx.webp,athleisure,black,solid,cotton,$100 ,male,casual,hoodie,Classic Black Zip Hoodie,"A comfortable black cotton zip-up hoodie with a front pocket and a small logo on the chest, perfect for casual and athleisure wear."
31830384_fpx.webp,casual,green,solid,cotton,$150 ,female,casual,polo shirt,Classic Relaxed Polo,"A comfortable, long-sleeve green cotton polo shirt with a relaxed fit and ribbed cuffs, ideal for casual wear."
31441238_fpx.webp,business casual,white,striped,cotton,$50 ,male,"casual, business",polo shirt,Classic Striped Polo,"A white short-sleeve polo shirt featuring thin horizontal black stripes, made from comfortable cotton fabric for everyday wear."
31729574_fpx.webp,athleisure,gray,solid,polyester,$70 ,male,casual,sweatshirt,Columbia Half-Zip Sweatshirt,"A comfortable and versatile gray half-zip sweatshirt made from soft, breathable polyester fabric. Ideal for casual wear or light outdoor activities."
32115576_fpx.webp,business casual,white,solid,cotton,$50 ,male,"casual, business",polo shirt,Classic White Polo,"A classic white polo shirt made from soft cotton, featuring a three-button placket and short sleeves, perfect for casual or business casual occasions."
3502496_fpx.webp,business casual,blue,solid,cotton,$100 ,male,business,collared shirt,Classic Light Blue Dress Shirt,"A crisp, light blue cotton dress shirt with a spread collar and button cuffs, perfect for professional and business casual occasions."
28281467_fpx.webp,casual,blue,floral,cotton,$100 ,female,casual,jacket and dress,Denim Jacket with Floral Dress,"A casual outfit consisting of a mid-blue denim jacket paired with a white floral print cotton dress, perfect for everyday wear."
16476087_fpx.webp,business casual,blue,solid,cotton,$70 ,male,casual,pants,Classic Navy Chinos,"A pair of comfortable and versatile navy blue chinos made from breathable cotton, ideal for casual and semi-formal occasions."
26935467_fpx.webp,athleisure,green,solid,cotton,$60 ,male,casual,hoodie,Essential Zip Hoodie,"A comfortable green zip-up hoodie made with soft cotton fabric, designed for casual and athleisure wear with a front pouch pocket and adjustable hood."
29243735_fpx.webp,casual,blue,solid,denim,$100 ,female,casual,pants,Classic High-Rise Jeans,"Light blue high-rise denim jeans with a straight leg fit, featuring a clean, solid pattern perfect for casual everyday wear."
24132877_fpx.webp,athleisure,gray,solid,fleece,$70 ,female,casual,jacket,Cozy Fleece Zip-Up,"A light gray fleece jacket featuring a full front zipper, raglan sleeves, and side pockets, designed for casual warmth and comfort."
29173205_fpx.webp,business casual,blue,solid,wool blend,$200 ,male,business,suit,Navy Classic Suit,"A well-fitted navy blue wool blend suit paired with a light blue dress shirt and a striped tie, ideal for professional and business settings."
28434024_fpx.webp,business casual,black,solid,cotton,$100 ,male,casual,sweater,Classic Black Crewneck Sweater,"A simple, solid black cotton crewneck sweater designed for comfortable everyday wear with a clean and polished look suitable for casual and business casual occasions."
32149252_fpx (1).webp,business casual,blue,solid,cotton,$80 ,male,"casual, business",polo shirt,Classic Blue Polo,"A light blue short-sleeve polo shirt made from soft cotton material, featuring a traditional collar and button placket, suitable for casual and business casual settings."
14535626_fpx.webp,business casual,black,solid,leather,$200 ,male,casual,jacket,Classic Leather Jacket,"A sleek black leather jacket with a front zipper and a pointed collar, ideal for casual and business casual occasions."
28436706_fpx.webp,athleisure,black,solid,polyester,$100 ,male,casual,jacket,North Face Weatherproof Jacket,"A sleek black weatherproof jacket featuring a hood, front zipper, and elastic cuffs, designed for casual outdoor wear and light protection against rain."
30345446_fpx.webp,business casual,orange,checkered,cotton,$100 ,male,business,collared shirt,Orange Check Dress Shirt,"A fitted orange checkered dress shirt made from breathable cotton, featuring a classic button-down collar and a subtle embroidered logo on the chest, ideal for business casual settings."
31833315_fpx.webp,business casual,green,solid,polyester,$50 ,male,"casual, business",polo shirt,Columbia Classic Polo,"A light green Columbia polo shirt made of breathable polyester, featuring a classic collar and short sleeves, suitable for casual and business casual occasions."
31698533_fpx.webp,casual,white,eyelet,cotton,$150 ,female,casual,dress set,Summer Breeze Two-Piece Dress,"A white cotton eyelet two-piece set featuring a button-down sleeveless crop top with scalloped edges and a matching high-waisted, midi A-line skirt. Perfect for casual summer outings or garden parties."
31593483_fpx.webp,business casual,pink,solid,cotton,$80 ,female,casual,blouse,Pleated Soft Pink Blouse,"A soft pink blouse featuring vertical pintuck pleats along the front, button closure, and slightly puffed 3/4 length sleeves with gathered cuffs, perfect for casual or business casual settings."
31441298_fpx.webp,business casual,white,striped,cotton,$70 ,male,"casual,business",collared shirt,Classic Striped Polo,"A white cotton collared polo shirt with thin black horizontal stripes, providing a clean and versatile look suitable for casual and business casual occasions."
19147294_fpx.webp,athleisure,gray,solid,cotton,$60 ,male,casual,sweatshirt,Nike Everyday Crew Sweatshirt,"A comfortable and versatile gray crewneck sweatshirt made of soft cotton with a minimal Nike logo on the chest, perfect for casual and athleisure wear."
15694104_fpx.webp,casual,blue,solid,denim,$70 ,male,casual,pants,classic straight denim jeans,"A pair of classic straight-fit denim jeans in a light blue wash, perfect for everyday casual wear."
30397133_fpx.webp,business casual,green,plaid,cotton,$100 ,male,"casual, business",collared shirt,Green Plaid Button-Down Shirt,"A classic green plaid cotton button-down shirt with a neatly tailored fit, perfect for casual or smart business casual occasions."
31004284_fpx.webp,business casual,brown,checked,wool,$300 ,male,"business, casual",blazer,Classic Checked Wool Blazer,"A sophisticated brown checked wool blazer with a tailored fit, perfect for business casual occasions."
26860924_fpx.webp,casual,blue,logo print,cotton,$50 ,male,casual,pants,Logo Print Lounge Pants,"Comfortable blue lounge pants with an elastic waistband and white logo print pattern, perfect for casual wear or relaxing at home."
31807594_fpx.webp,athleisure,blue,solid,polyester,$100 ,female,casual,jacket,Columbia Lightweight Windbreaker,"A lightweight, solid blue polyester windbreaker jacket with a full front zipper, high collar, and side pockets designed for comfort and casual wear."
31618599_fpx.webp,business casual,blue,striped,cotton,$60 ,male,"casual, business",collared shirt,Blue Striped Polo,"A lightweight blue striped cotton polo shirt with a classic collar and button placket, perfect for casual and business casual settings."
31715463_fpx.webp,casual,white,floral,cotton,$100 ,female,casual,dress,Floral Cotton Sundress,"A white cotton sundress with a colorful floral print, featuring thin spaghetti straps and a fitted bodice with a slight peplum detail, perfect for casual summer outings."
27455916_fpx.webp,athleisure,blue,solid,polyester,$70 ,female,casual,leggings,Performance High-Rise Leggings,"Comfortable and stretchy high-rise blue leggings designed for workouts and casual wear, made from moisture-wicking polyester material."
32089575_fpx.webp,casual,green,cable knit,cotton,$100 ,female,casual,sweater,Mint Cable Knit Sweater,"A soft, green cable knit sweater made from cotton featuring a classic crew neck design, perfect for everyday casual wear."
31397823_fpx.webp,streetwear,brown,solid,denim,$150 ,male,casual,jacket,Classic Brown Denim Jacket,"A solid brown denim jacket designed with button closures and chest pockets, featuring contrast stitching for a rugged, casual look."
27223143_fpx.webp,athleisure,black,solid,polyester,$80 ,male,casual,pants,Performance Track Pants,"A pair of black sporty track pants with a slim fit, designed with lightweight polyester for breathability and comfort during workouts or casual wear."
23091080_fpx.webp,casual,blue,solid,cotton,$50 ,male,casual,t-shirt,Basic Light Blue T-Shirt,"A soft, light blue cotton t-shirt with a classic crew neck and short sleeves, perfect for everyday casual wear."
29196530_fpx.webp,casual,black,solid,cotton,$100 ,male,casual,sweatshirt,Classic Quarter-Zip Sweatshirt,"A black quarter-zip sweatshirt made of soft cotton material, featuring a small logo on the chest and ribbed cuffs for a comfortable fit."
31396587_fpx.webp,business casual,blue,solid,cotton,$80 ,male,"casual, business",polo shirt,Classic Blue Polo,"A classic navy blue polo shirt made from comfortable cotton, perfect for casual and business casual settings."
32429712_fpx.webp,business casual,black,solid,wool,$200 ,female,business,blazer,Classic Double-Breasted Blazer,"A sleek black wool double-breasted blazer with gold buttons, perfect for a polished business casual look."
29523274_fpx.webp,athleisure,gray,solid,polyester,$40 ,male,casual,shorts,Performance Training Shorts,"Lightweight gray athletic shorts made from moisture-wicking polyester, featuring an elastic waistband for comfort and a small brand logo on the leg."
29178965_fpx.webp,business casual,gray,plaid,wool blend,$150 ,male,"business, casual",blazer,Modern Plaid Blazer,"A sharp gray plaid blazer made from a wool blend, perfect for elevating business casual and smart casual looks."
31790610_fpx.webp,athleisure,blue,solid,cotton,$70 ,male,casual,hoodie,Skyline Zip Hoodie,"A comfortable light blue zip-up hoodie with a drawstring hood and front pockets, perfect for casual everyday wear."
32504426_fpx.webp,casual,blue,solid,polyester,$70 ,male,casual,shorts,Aqua Casual Drawstring Shorts,"Light blue solid-colored casual shorts with a drawstring waist, perfect for relaxed summer days."
32149252_fpx.webp,business casual,blue,solid,cotton,$70 ,male,"casual, business",shirt,Classic Blue Polo Shirt,"A light blue cotton polo shirt featuring a classic collar and button placket, perfect for casual and business casual settings."
29432269_fpx.webp,casual,beige,solid,cotton blend,$80 ,female,casual,jumpsuit,Elegant Beige Jumpsuit,"A stylish beige jumpsuit featuring a deep V-neckline, wide-leg pants, short sleeves, and a fitted waist, made from a soft cotton blend fabric perfect for casual daytime wear."
30286331_fpx.webp,business casual,blue,solid,cotton,$200 ,female,"casual, business",coat,Skyline Trench Coat,"A sleek, light blue trench coat made from cotton with a classic button-down front and a structured collar, perfect for elevated casual or business casual looks."
32366731_fpx.webp,casual,brown,solid,linen,$100 ,female,casual,pants,Relaxed Linen Drawstring Pants,"Lightweight brown linen pants with a relaxed fit and a drawstring waist, perfect for casual outings and warm weather."
